EST_DATE,Total_ASSETS,IDRSSD,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Tract_Code,Tract Income Level,Underserved or Distressed Tract,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Family Income,Tract Median Family Income %,Tract Population,Tract Minority %,Tract Minority Population,Owner-Occupied Units,1 to 4 Family Units,Tract Income Level,2010 MSA/MD/statewide non-MSA/MD Median Family Income,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,% below Poverty Line,Tract Median Family Income %,2010 Tract Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Household Income,Tract Population,Tract Minority %,Number of Families,Number of Households,Non-Hispanic White Population,Tract Minority Population,American Indian Population,Asian/Hawaiian/Pacific Islander Population,Black Population,Hispanic Population,Other/Two or More Races Population
20000128,35577,2877484,ALAMERICA BANK,2170 HIGHLAND AVENUE SOUTH,BIRMINGHAM,AL,35205,0049.01,Middle,No,$61400,$55573,$56302,90.51,1168,25.09,293,156,215,Middle,$62204,$61400,22.09,90.51,$56302,$55573,$32991,1168,25.09,129,885,875,293,0,95,142,45,11
19760219,52552,578237,COMMONWEALTH NATIONAL BANK,2214 SAINT STEPHENS ROAD,MOBILE,AL,36617,0006.00,Low,No,$55100,$19616,$19303,35.60,2230,95.16,2122,368,1063,Low,$54215,$55100,48.53,35.60,$19303,$19616,$16536,2230,95.16,545,864,108,2122,0,0,2107,15,0
19731012,1996652,725732,BAC FLORIDA BANK,169 MIRACLE MILE SUITE R10,CORAL GABLES,FL,33134,0062.06,Upper,No,$51800,$73406,$69816,141.71,2909,67.41,1961,591,589,Upper,$49264,$51800,19.04,141.71,$69816,$73406,$47287,2909,67.41,713,1625,948,1961,0,40,37,1850,34
20060110,982668,3402913,BANESCO USA,150 ALHAMBRA CIRCLE SUITE 100,CORAL GABLES,FL,33134,0062.06,Upper,No,$51800,$73406,$69816,141.71,2909,67.41,1961,591,589,Upper,$49264,$51800,19.04,141.71,$69816,$73406,$47287,2909,67.41,713,1625,948,1961,0,40,37,1850,34
20070226,127495,3468450,CENTRAL BANK,20701 BRUCE B DOWNS BOULEVARD,TAMPA,FL,33647,0102.05,Upper,No,$59800,$88659,$87349,148.26,9008,51.64,4652,2295,2976,Upper,$58916,$59800,5.10,148.26,$87349,$88659,$85462,9008,51.64,2383,3000,4356,4652,0,1245,1145,1639,623
19740510,491755,837037,CONTINENTAL NATIONAL BANK,1801 S.W. 1ST STREET,MIAMI,FL,33135,0054.09,Moderate,No,$51800,$28879,$27465,55.75,3699,98.38,3639,32,308,Moderate,$49264,$51800,36.25,55.75,$27465,$28879,$20775,3699,98.38,746,1441,60,3639,0,0,67,3572,0
19720607,392799,1002430,EXECUTIVE NATIONAL BANK,9600 NORTH KENDALL DRIVE,MIAMI,FL,33176,0084.05,Upper,No,$51800,$121103,$115179,233.79,6081,62.87,3823,1508,1713,Upper,$49264,$51800,9.46,233.79,$115179,$121103,$91554,6081,62.87,1399,1956,2258,3823,0,212,296,3315,0
19760823,202367,221775,"INTERAMERICAN BANK, A FEDERAL SAVINGS BANK",9190 CORAL WAY,MIAMI,FL,33165,0088.05,Moderate,No,$51800,$30484,$28995,58.85,5603,96.04,5381,498,1421,Moderate,$49264,$51800,27.79,58.85,$28995,$30484,$30276,5603,96.04,1172,1569,222,5381,0,5,14,5362,0
20020621,154897,3122828,INTERCONTINENTAL BANK,5722 SOUTHWEST 8TH STREET,WEST MIAMI,FL,33144,0059.01,Middle,No,$51800,$50795,$48313,98.06,4341,92.01,3994,733,1286,Middle,$49264,$51800,17.85,98.06,$48313,$50795,$40720,4341,92.01,997,1441,347,3994,0,8,0,3929,57
19831130,406111,867632,INTERNATIONAL FINANCE BANK,777 SOUTHWEST 37TH AVENUE SUITE 700,MIAMI,FL,33135,0055.02,Moderate,No,$51800,$28863,$27454,55.72,6960,98.76,6874,747,1836,Moderate,$49264,$51800,36.31,55.72,$27454,$28863,$24283,6960,98.76,1559,2346,86,6874,0,63,17,6793,1
